pH,xtc_file,time_ns,rmsd_nm
7.00,pH_7.00pH_7.00_13.xtc,200.0,0.3693238
7.00,pH_7.00pH_7.00_13.xtc,300.0,0.2651948
7.00,pH_7.00pH_7.00_13.xtc,400.0,0.3097905
7.00,pH_7.00pH_7.00_13.xtc,500.0,0.3318869
7.00,pH_7.00pH_7.00_13.xtc,600.0,0.2954116
7.00,pH_7.00pH_7.00_13.xtc,700.0,0.3604622
7.00,pH_7.00pH_7.00_13.xtc,800.0,0.2760293
7.00,pH_7.00pH_7.00_13.xtc,900.0,0.3951905
7.00,pH_7.00pH_7.00_13.xtc,1000.0,0.394565
7.00,pH_7.00pH_7.00_14.xtc,0.0,0.394565
7.00,pH_7.00pH_7.00_14.xtc,100.0,0.311499
7.00,pH_7.00pH_7.00_14.xtc,200.0,0.3347383
7.00,pH_7.00pH_7.00_14.xtc,300.0,0.3552411
7.00,pH_7.00pH_7.00_14.xtc,400.0,0.311481
7.00,pH_7.00pH_7.00_14.xtc,500.0,0.3015993
7.00,pH_7.00pH_7.00_14.xtc,600.0,0.334649
7.00,pH_7.00pH_7.00_14.xtc,700.0,0.3240427
7.00,pH_7.00pH_7.00_14.xtc,800.0,0.3434338
7.00,pH_7.00pH_7.00_14.xtc,900.0,0.309406
7.00,pH_7.00pH_7.00_14.xtc,1000.0,0.356168
7.00,pH_7.00pH_7.00_15.xtc,0.0,0.356168
7.00,pH_7.00pH_7.00_15.xtc,100.0,0.3140759
7.00,pH_7.00pH_7.00_15.xtc,200.0,0.3530215
7.00,pH_7.00pH_7.00_15.xtc,300.0,0.2907329
7.00,pH_7.00pH_7.00_15.xtc,400.0,0.2905156
7.00,pH_7.00pH_7.00_15.xtc,500.0,0.2836788
7.00,pH_7.00pH_7.00_15.xtc,600.0,0.3017687
7.00,pH_7.00pH_7.00_15.xtc,700.0,0.331389
7.00,pH_7.00pH_7.00_15.xtc,800.0,0.322421
7.00,pH_7.00pH_7.00_15.xtc,900.0,0.302479
7.00,pH_7.00pH_7.00_15.xtc,1000.0,0.3000541
7.00,pH_7.00pH_7.00_16.xtc,0.0,0.3000541
7.00,pH_7.00pH_7.00_16.xtc,100.0,0.293419
7.00,pH_7.00pH_7.00_16.xtc,200.0,0.3141998
7.00,pH_7.00pH_7.00_16.xtc,300.0,0.3351638
7.00,pH_7.00pH_7.00_16.xtc,400.0,0.2936747
7.00,pH_7.00pH_7.00_16.xtc,500.0,0.3071182
7.00,pH_7.00pH_7.00_16.xtc,600.0,0.2659802
7.00,pH_7.00pH_7.00_16.xtc,700.0,0.2931063
7.00,pH_7.00pH_7.00_16.xtc,800.0,0.3151605
7.00,pH_7.00pH_7.00_16.xtc,900.0,0.3082454
7.00,pH_7.00pH_7.00_16.xtc,1000.0,0.2958805
7.00,pH_7.00pH_7.00_17.xtc,0.0,0.2958805
7.00,pH_7.00pH_7.00_17.xtc,100.0,0.2687842
7.00,pH_7.00pH_7.00_17.xtc,200.0,0.2860765
7.00,pH_7.00pH_7.00_17.xtc,300.0,0.2989948
7.00,pH_7.00pH_7.00_17.xtc,400.0,0.2620487
7.00,pH_7.00pH_7.00_17.xtc,500.0,0.273753
7.00,pH_7.00pH_7.00_17.xtc,600.0,0.2919776
7.00,pH_7.00pH_7.00_17.xtc,700.0,0.3169225
7.00,pH_7.00pH_7.00_17.xtc,800.0,0.3334168
7.00,pH_7.00pH_7.00_17.xtc,900.0,0.3405858
7.00,pH_7.00pH_7.00_17.xtc,1000.0,0.3484498
7.00,pH_7.00pH_7.00_18.xtc,0.0,0.3484498
7.00,pH_7.00pH_7.00_18.xtc,100.0,0.3208487
7.00,pH_7.00pH_7.00_18.xtc,200.0,0.3451912
7.00,pH_7.00pH_7.00_18.xtc,300.0,0.3501579
7.00,pH_7.00pH_7.00_18.xtc,400.0,0.3530422
7.00,pH_7.00pH_7.00_18.xtc,500.0,0.2829248
7.00,pH_7.00pH_7.00_18.xtc,600.0,0.348764
7.00,pH_7.00pH_7.00_18.xtc,700.0,0.3154432
7.00,pH_7.00pH_7.00_18.xtc,800.0,0.3123387
7.00,pH_7.00pH_7.00_18.xtc,900.0,0.2972333
7.00,pH_7.00pH_7.00_18.xtc,1000.0,0.2761166
7.00,pH_7.00pH_7.00_19.xtc,0.0,0.2761166
7.00,pH_7.00pH_7.00_19.xtc,100.0,0.2832215
7.00,pH_7.00pH_7.00_19.xtc,200.0,0.3211145
