pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_17.xtc,900.0,0.345975
6.50,pH_6.50pH_6.50_17.xtc,1000.0,0.4264123
6.50,pH_6.50pH_6.50_18.xtc,0.0,0.4264123
6.50,pH_6.50pH_6.50_18.xtc,100.0,0.3662486
6.50,pH_6.50pH_6.50_18.xtc,200.0,0.3921823
6.50,pH_6.50pH_6.50_18.xtc,300.0,0.4372906
6.50,pH_6.50pH_6.50_18.xtc,400.0,0.4285278
6.50,pH_6.50pH_6.50_18.xtc,500.0,0.3697848
6.50,pH_6.50pH_6.50_18.xtc,600.0,0.367939
6.50,pH_6.50pH_6.50_18.xtc,700.0,0.3231141
6.50,pH_6.50pH_6.50_18.xtc,800.0,0.3362259
6.50,pH_6.50pH_6.50_18.xtc,900.0,0.3925708
6.50,pH_6.50pH_6.50_18.xtc,1000.0,0.4608731
6.50,pH_6.50pH_6.50_19.xtc,0.0,0.4608731
6.50,pH_6.50pH_6.50_19.xtc,100.0,0.4249716
6.50,pH_6.50pH_6.50_19.xtc,200.0,0.4049816
6.50,pH_6.50pH_6.50_19.xtc,300.0,0.2857399
6.50,pH_6.50pH_6.50_19.xtc,400.0,0.4164073
6.50,pH_6.50pH_6.50_19.xtc,500.0,0.3300668
6.50,pH_6.50pH_6.50_19.xtc,600.0,0.4003928
6.50,pH_6.50pH_6.50_19.xtc,700.0,0.3877397
6.50,pH_6.50pH_6.50_19.xtc,800.0,0.3836787
6.50,pH_6.50pH_6.50_19.xtc,900.0,0.3615068
6.50,pH_6.50pH_6.50_19.xtc,1000.0,0.3475471
6.50,pH_6.50pH_6.50_20.xtc,0.0,0.3475471
6.50,pH_6.50pH_6.50_20.xtc,100.0,0.3495575
6.50,pH_6.50pH_6.50_20.xtc,200.0,0.3191097
6.50,pH_6.50pH_6.50_20.xtc,300.0,0.4057527
6.50,pH_6.50pH_6.50_20.xtc,400.0,0.3205006
6.50,pH_6.50pH_6.50_20.xtc,500.0,0.292173
6.50,pH_6.50pH_6.50_20.xtc,600.0,0.3155408
6.50,pH_6.50pH_6.50_20.xtc,700.0,0.2994001
6.50,pH_6.50pH_6.50_20.xtc,800.0,0.3164123
6.50,pH_6.50pH_6.50_20.xtc,900.0,0.3520783
6.50,pH_6.50pH_6.50_20.xtc,1000.0,0.4663884
7.00,pH_7.00pH_7.00_1.xtc,0.0,0.1985422
7.00,pH_7.00pH_7.00_1.xtc,100.0,0.2452925
7.00,pH_7.00pH_7.00_1.xtc,200.0,0.2867832
7.00,pH_7.00pH_7.00_1.xtc,300.0,0.3192464
7.00,pH_7.00pH_7.00_1.xtc,400.0,0.4042602
7.00,pH_7.00pH_7.00_1.xtc,500.0,0.4123963
7.00,pH_7.00pH_7.00_1.xtc,600.0,0.2282284
7.00,pH_7.00pH_7.00_1.xtc,700.0,0.2789415
7.00,pH_7.00pH_7.00_1.xtc,800.0,0.2742648
7.00,pH_7.00pH_7.00_1.xtc,900.0,0.2198415
7.00,pH_7.00pH_7.00_1.xtc,1000.0,0.2071037
7.00,pH_7.00pH_7.00_2.xtc,0.0,0.2071037
7.00,pH_7.00pH_7.00_2.xtc,100.0,0.2574657
7.00,pH_7.00pH_7.00_2.xtc,200.0,0.2441989
7.00,pH_7.00pH_7.00_2.xtc,300.0,0.2685211
7.00,pH_7.00pH_7.00_2.xtc,400.0,0.2527519
7.00,pH_7.00pH_7.00_2.xtc,500.0,0.2658536
7.00,pH_7.00pH_7.00_2.xtc,600.0,0.3021578
7.00,pH_7.00pH_7.00_2.xtc,700.0,0.2519408
7.00,pH_7.00pH_7.00_2.xtc,800.0,0.2141591
7.00,pH_7.00pH_7.00_2.xtc,900.0,0.2007447
7.00,pH_7.00pH_7.00_2.xtc,1000.0,0.2044153
7.00,pH_7.00pH_7.00_3.xtc,0.0,0.2044153
7.00,pH_7.00pH_7.00_3.xtc,100.0,0.1803216
7.00,pH_7.00pH_7.00_3.xtc,200.0,0.1566586
7.00,pH_7.00pH_7.00_3.xtc,300.0,0.1812305
7.00,pH_7.00pH_7.00_3.xtc,400.0,0.1796839
7.00,pH_7.00pH_7.00_3.xtc,500.0,0.162643
7.00,pH_7.00pH_7.00_3.xtc,600.0,0.1609952
7.00,pH_7.00pH_7.00_3.xtc,700.0,0.1597795
7.00,pH_7.00pH_7.00_3.xtc,800.0,0.1648924
7.00,pH_7.00pH_7.00_3.xtc,900.0,0.1427761
7.00,pH_7.00pH_7.00_3.xtc,1000.0,0.0004969
7.00,pH_7.00pH_7.00_4.xtc,0.0,0.0004969
7.00,pH_7.00pH_7.00_4.xtc,100.0,0.1476869
7.00,pH_7.00pH_7.00_4.xtc,200.0,0.1422745
7.00,pH_7.00pH_7.00_4.xtc,300.0,0.2138225
7.00,pH_7.00pH_7.00_4.xtc,400.0,0.2361734
7.00,pH_7.00pH_7.00_4.xtc,500.0,0.2411848
7.00,pH_7.00pH_7.00_4.xtc,600.0,0.2103017
7.00,pH_7.00pH_7.00_4.xtc,700.0,0.1570502
7.00,pH_7.00pH_7.00_4.xtc,800.0,0.2201253
7.00,pH_7.00pH_7.00_4.xtc,900.0,0.3008333
7.00,pH_7.00pH_7.00_4.xtc,1000.0,0.2496801
7.00,pH_7.00pH_7.00_5.xtc,0.0,0.2496801
7.00,pH_7.00pH_7.00_5.xtc,100.0,0.2729221
7.00,pH_7.00pH_7.00_5.xtc,200.0,0.2428189
7.00,pH_7.00pH_7.00_5.xtc,300.0,0.2372933
7.00,pH_7.00pH_7.00_5.xtc,400.0,0.2503611
7.00,pH_7.00pH_7.00_5.xtc,500.0,0.2323955
7.00,pH_7.00pH_7.00_5.xtc,600.0,0.2306928
7.00,pH_7.00pH_7.00_5.xtc,700.0,0.2591003
7.00,pH_7.00pH_7.00_5.xtc,800.0,0.2464071
7.00,pH_7.00pH_7.00_5.xtc,900.0,0.1892114
7.00,pH_7.00pH_7.00_5.xtc,1000.0,0.230069
7.00,pH_7.00pH_7.00_6.xtc,0.0,0.230069
7.00,pH_7.00pH_7.00_6.xtc,100.0,0.2202942
7.00,pH_7.00pH_7.00_6.xtc,200.0,0.2485701
7.00,pH_7.00pH_7.00_6.xtc,300.0,0.1747286
7.00,pH_7.00pH_7.00_6.xtc,400.0,0.1799278
7.00,pH_7.00pH_7.00_6.xtc,500.0,0.2190116
7.00,pH_7.00pH_7.00_6.xtc,600.0,0.1938122
7.00,pH_7.00pH_7.00_6.xtc,700.0,0.2266762
7.00,pH_7.00pH_7.00_6.xtc,800.0,0.236271
7.00,pH_7.00pH_7.00_6.xtc,900.0,0.2346864
7.00,pH_7.00pH_7.00_6.xtc,1000.0,0.2172585
7.00,pH_7.00pH_7.00_7.xtc,0.0,0.2172585
7.00,pH_7.00pH_7.00_7.xtc,100.0,0.2378491
7.00,pH_7.00pH_7.00_7.xtc,200.0,0.2443623
7.00,pH_7.00pH_7.00_7.xtc,300.0,0.2560103
7.00,pH_7.00pH_7.00_7.xtc,400.0,0.2620185
7.00,pH_7.00pH_7.00_7.xtc,500.0,0.2435242
7.00,pH_7.00pH_7.00_7.xtc,600.0,0.2362279
7.00,pH_7.00pH_7.00_7.xtc,700.0,0.2438343
7.00,pH_7.00pH_7.00_7.xtc,800.0,0.1790301
7.00,pH_7.00pH_7.00_7.xtc,900.0,0.179169
7.00,pH_7.00pH_7.00_7.xtc,1000.0,0.228444
